Requires Attention,Published Status,OTC Status,Scope Status,Seasonal Status,Staleness Status,Organisation Name,Dataset ID,DQ Score,BODS Compliant,Last Updated Date,Last Modified Date,Effective Last Modified Date,XML Filename,Licence Number,National Operator Code,Service Code,Public Use Flag,Operating Period Start Date,Operating Period End Date,Effective stale date due to end date,Effective stale date due to effective last modified date,Last modified date < Effective stale date due to OTC effective date,Effective stale date due to OTC effective date,Effective Seasonal Start Date,Seasonal Start Date,Seasonal End Date,Service Revision Number,Line Name,Origin,Destination,Operator ID,Operator Name,Address,OTC Licence Number,Licence Status,Registration Number,Service Type Description,Variation Number,Service Number,Start Point,Finish Point,Via,Granted Date,Expiry Date,Effective Date,Received Date,Service Type Other Details
Yes,Published,Registered,In Scope,Not Seasonal,Stale - End date passed,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,27/03/2023,27/03/2023,BODS_PF0007157_1_20230326_10.xml,PF0007157,KBUS,PF0007157:1,TRUE,26/03/2023,22/04/2023,11/03/2023,27/03/2024,FALSE,02/12/2019,,,,10,SP,Loughborough University,Loughborough Station,15334,KINCHBUS LTD,MANSFIELD ROAD,PF0007157,Valid,PF0007157/1,Normal Stopping,14,7,Loughborough,Loughborough,"Loughborough Colleges and University, Hollywell Park",01/03/1993,28/02/2028,10/02/2020,21/01/2020,Variation to timetable
No,Published,Registered,In Scope,Not Seasonal,Not Stale,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,13/12/2022,13/12/2022,BODS_PF0007157_3_20230108_9.xml,PF0007157,KBUS,PF0007157:3,TRUE,08/01/2023,,,13/12/2023,FALSE,26/06/2022,,,,9,2,Loughborough,Leicester,15334,KINCHBUS LTD,MANSFIELD ROAD,PF0007157,Valid,PF0007157/3,Normal Stopping,21,2,"Loughborough, Baxter Gate",Sileby,"Barrow Upper Soar, Heathcote Drive",01/03/1993,28/02/2028,04/09/2022,22/07/2022,Route and timetable change
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,13/12/2022,13/12/2022,BODS_PF0007157_24_20230108_6.xml,PF0007157,KBUS,PF0007157:24,TRUE,08/01/2023,01/04/2023,18/02/2023,13/12/2023,TRUE,22/01/2023,,,,6,9,Loughborough,Nottingham,15334,KINCHBUS LTD,MANSFIELD ROAD,PF0007157,Valid,PF0007157/24,Normal Stopping,18,9,"Loughborough, Baxtergate","Nottingham, Broadmarsh","Costock Main St, Bunny Primary School",01/03/1993,28/02/2028,02/04/2023,16/02/2023,Timetable Variation
No,Published,Registered,In Scope,Not Seasonal,Not Stale,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,13/12/2022,13/12/2022,BODS_PF0007157_19_20230108_9.xml,PF0007157,KBUS,PF0007157:19,TRUE,08/01/2023,,,13/12/2023,FALSE,24/07/2022,,,,9,SKY,Leicester,Derby,15334,KINCHBUS LTD,MANSFIELD ROAD,PF0007157,Valid,PF0007157/19,Normal Stopping,21,Skylink Derby,East Midlands Airport,"Leicester, Causeway Lane Stop AH","Loughborough , Diseworth, Kegworth",01/03/1993,28/02/2028,02/10/2022,19/08/2022,Route and Timetable Variation
No,Published,Registered,In Scope,Not Seasonal,Not Stale,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,13/12/2022,13/12/2022,BODS_PF0007157_14_20230108_5.xml,PF0007157,KBUS,PF0007157:14,TRUE,08/01/2023,,,13/12/2023,FALSE,25/07/2022,,,,5,5,Ravensthorpe Drive,Hazel Road Estate,15334,KINCHBUS LTD,MANSFIELD ROAD,PF0007157,Valid,PF0007157/14,Normal Stopping,10,5,Loughborough (Hazel Rd Est),Loughborough (Ravensthorpe Dr),,01/03/1993,28/02/2028,03/10/2022,19/08/2022,Vary timetable
No,Published,Registered,In Scope,Not Seasonal,Not Stale,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,13/12/2022,13/12/2022,BODS_PF0007157_12_20230108_5.xml,PF0007157,KBUS,PF0007157:12,TRUE,08/01/2023,,,13/12/2023,FALSE,24/07/2022,,,,5,11 12,Thorpe Acre,Shelthorpe,15334,KINCHBUS LTD,MANSFIELD ROAD,PF0007157,Valid,PF0007157/12,Normal Stopping,10,11,Thorpe Acres,Shelthorpe,,01/03/1993,28/02/2028,02/10/2022,19/08/2022,Timetable Variation
No,Published,Unregistered,In Scope,Not Seasonal,Not Stale,Kinch Buses,464,100%,YES,2023-03-27 12:58:38.289886+00:00,13/09/2022,13/09/2022,BODS_UZ000KBUS_CS_20220912_2.xml,PF0007157,KBUS,UZ000KBUS:CS,FALSE,12/09/2022,,,13/09/2023,FALSE,,,,,2,CS,Loughborough Students Union,Holywell Park,,,,,,,,,,,,,,,,,
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0003375_3_20230108_7.xml,PB0002711,TBTN,PC0003375:3,TRUE,08/01/2023,,,22/12/2023,FALSE,25/10/2020,,,,7,15,Ilkeston,East Midlands Airport,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PC0003375,Valid,PC0003375/3,Normal Stopping,4,MY15,"Ilkeston, Wharncliffe Road",East Midlands Airport,"Stapleford, Sandiacre, Long Eaton, Old Sawley",10/08/1994,31/07/2024,03/01/2021,20/11/2020,Vary timetable.
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_82_20230108_4.xml,PC0001135,TBTN,PC0001135:82,TRUE,08/01/2023,,,22/12/2023,TRUE,22/01/2023,,,,4,33,Ilkeston,Mansfield,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/82,Normal Stopping,1,33,"Ilkeston, Wharncliffe Road",Mansfield Bus Station,"Shipley, Heanor, Sutton in Ashfield",01/05/1996,30/04/2026,02/04/2023,16/02/2023,Vary route and timetable.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_83_20230108_7.xml,PC0001135,TBTN,PC0001135:83,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,7,34,Hucknall,Ilkeston,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/83,Normal Stopping,1,34,"Ilkeston, Wharncliffe Road",Hucknall Railway Station,"Heanor, Eastwood, Watnall",01/05/1996,30/04/2026,02/10/2022,28/09/2022,Vary route.
